index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Tal Rasha's Horadric Crest 16	80	Tal Rasha's Wrappings 16	xsk	Death Mask	7	26	66	dpur	dpur						5	5000		dmg-min		14	14	regen		20	20	slow		20	20	light-thorns		27	27	oskill	Bone Armor	5	5	swing2		40	40	move2		20	20	res-ltng		35	35	ac%		20	20	balance2		30	30	res-all		30	30	skilltab	7	3	3	kill-skill	Poison Nova	50	20	nofreeze		1	1	balance2		15	15	swing2		40	40	light		5	5	dmg-pois	75	21	21	openwounds	0	20	20		0
Griswold's Valor 16	81	Griswold's Legacy 16	urn	Corona	7	44	69	dgld	dgld						5	5000	2	dmg-norm		25	25	nofreeze		1	1	att		75	75	res-fire		40	40	dmg-fire		30	30	red-mag		7	7	skilltab	20	1	1	dru		1	1	att-skill	53	5	3	balance2		10	10	sor		1	1	res-pois		5	5	ass		2	2	mana-kill		20	20	dex		20	20	ltng-min		1	1	res-all		5	5	ltng-max		17	17	res-pois		7	7		0
Griswold's Heart 16	82	Griswold's Legacy 16	xar	Ornate Plate	7	44	45	dgld	dgld						5	5000		dmg-max		30	30	red-dmg%		10	10	res-fire		40	40	ignore-ac		1	1	swing2		25	25	manasteal		8	8	res-pois		30	30	att		77	77	red-mag		2	2	block		30	30	dmg%		50	50	red-mag		20	20	mag%		40	40	dmg-norm		20	20	res-fire		50	50	manasteal		6	6	oskill	12	8	8	mag%		100	100	lifesteal		6	6		0
Griswolds's Redemption 16	83	Griswold's Legacy 16	7ws	Caduceus	7	44	53	dgld	dgld						5	5000	2	openwounds		35	35	att%		50	50	res-all-max		5	5	light		2	2	res-ltng		15	15	block		30	30	ac%		200	200	crush		33	33	red-mag		4	4	dmg-cold	150	30	30	dmg%		150	150	balance2		30	30	str		25	25	block2		50	50	hp		40	40	indestruct		1	1	hit-skill	Venom	35	15	att%		150	150	abs-fire%		15	15		0
Griswold's Honor 16	84	Griswold's Legacy 16	paf	Vortex Shield	7	44	68	dgld	dgld						5	5000		mana		13	13	pierce-cold		35	35	light-thorns		25	25	dmg%		290	290	swing1		10	10	str		15	15	att	0	100	100	ac	0	24	24	oskill	86	2	2	cast3		30	30	gold%		100	100	ac%		150	150	abs-ltng		9	9	enr		35	35	gethit-skill	Blaze	5	15	swing1		10	10	enr		10	10	oskill	101	8	8	att	0	80	80		0
Trang-Oul's Guise 16	85	Trang-Oul's Avatar 16	uh9	Bone Visage	7	32	65	dgld	dgld						5	5000		light		-2	-2	ac		50	50	res-cold		30	30	dmg-ltng/lvl	16			skilltab	10	1	1	skill	132	2	2	hit-skill	Volcano	23	12	fire-min		10	10	fire-max		17	17	ac%		150	150	ltng-min		1	1	dmg%		220	220	ltng-max		180	180	manasteal		8	8	dex		20	20	red-mag		3	3	half-freeze		1	1	lifesteal	0	8	8	str		8	8		0
Trang-Oul's Scales 16	86	Trang-Oul's Avatar 16	xul	Chaos Armor	7	32	49	dyel	dyel						5	5000	2	mana		15	15	balance2		30	30	ac%		190	190	dmg-elem	33	324	324	mag%		23	23	ease		-40	-40	ac		12	12	dmg-demon		50	50	red-dmg		25	25	swing2		20	20	block		10	10	ethereal		1	1	dex		12	12	att%		20	20	aura	Meditation	17	17	ac	0	12	12	red-dmg%		15	15	mana-kill		5	5	dmg-ltng		25	25		0
Trang-Oul's Wing 16	87	Trang-Oul's Avatar 16	ne9	Cantor Trophy	7	32	54	dyel	dyel						5	5000	2	swing2		20	20	res-cold		20	20	dmg%		280	280	red-mag		7	7	att		66	66	att/lvl	20			oskill	Cold Mastery	2	2	move2		20	20	mag%	0	40	40	manasteal		7	7	crush		25	25	allskills		2	2	oskill	Arctic Blast	14	14	dmg-pois	50	31	31	red-mag		4	4	red-dmg		25	25	skilltab	12	2	2	oskill	24	3	3	res-ltng		30	30		0
Trang-Oul's Claws 16	88	Trang-Oul's Avatar 16	xmg	Heavy Bracers	7	32	45	dyel	dyel						5	5000		oskill	Teeth	5	5	reanimate	1	10	10	fire-min		23	23	fire-max		54	54	att	0	20	20	crush		75	75	ac%		120	120	dmg-mag		377	377	ac		12	12	stamdrain		10	10	res-fire-max		10	10	str		15	15	heal-kill		9	9	noheal		1	1	res-pois		70	70	ac%		120	120	crush		10	10	ac-miss		30	30	mana		50	50		0
Trang-Oul's Girth 16	89	Trang-Oul's Avatar 16	utc	Troll Belt	7	32	47	dyel	dyel						5	5000	2	fire-min		1	1	fire-max		2	2	red-dmg		8	8	dmg-max		2	2	manasteal		8	8	mag%	0	9	9	allskills		4	4	regen		12	12	ac		25	25	res-all		30	30	mana		20	20	mag%		20	20	freeze		2	2	dmg%	0	30	30	res-fire		40	40	res-ltng		20	20	skilltab	2	3	3	oskill	234	7	7	swing2		30	30		0
M'avina's True Sight 16	90	M'avina's Battle Hymn 16	ci3	Diadem	7	21	59	whit	whit						5	5000	2	fire-min		80	80	fire-max		130	130	red-dmg%		15	15	noheal		1	1	ac%		20	20	deadly		30	30	dmg%		230	230	pal		2	2	lifesteal		8	8	dur		50	50	vit		15	15	dmg%		140	140	dmg%	0	20	20	hit-skill	Life Tap	10	18	res-ltng	0	20	20	red-mag	0	2	2	res-pois		5	5	regen		5	5	dex		30	30		0
M'avina's Embrace 16	91	M'avina's Battle Hymn 16	uld	Kraken Shell	7	21	70	whit	whit						5	5000	2	stamdrain		25	25	dmg-pois	100	409	409	oskill	151	3	3	block		20	20	swing2		40	40	ac%		200	200	abs-fire%		30	30	pierce-fire		5	5	dmg%		30	30	dmg-ltng		28	28	light-thorns		3	3	hit-skill	225	4	12	mana%		15	15	skilltab	19	2	2	extra-fire		20	20	oskill	Venom	3	3	dmg-undead		200	200	res-all		25	25	dmg-max		1	1		0
M'avina's Icy Clutch 16	92	M'avina's Battle Hymn 16	xtg	Battle Gauntlets	7	21	32	whit	whit						5	5000	2	manasteal		6	6	str		10	10	regen-mana		25	25	dmg-norm		30	30	res-all		40	40	block2		20	20	oskill	69	4	4	att		132	132	light		2	2	cast3		20	20	mana		-5	-5	dmg-to-mana		20	20	dmg%		60	60	crush		20	20	red-mag		7	7	mana		15	15	res-fire		20	20	block		10	10	dmg-demon		25	25		0
M'avina's Tenet 16	93	M'avina's Battle Hymn 16	zvb	Sharkskin Belt	7	21	45	whit	whit						5	5000	2	balance2		30	30	stupidity		1	1	ease		-20	-20	skilltab	7	3	3	ac%		150	150	pierce-cold		5	5	oskill	BloodGolem	22	22	att		200	200	allskills		2	2	ac		20	20	ac%		30	30	balance2		15	15	balance2		20	20	res-pois-len		75	75	cast3		20	20	res-all		45	45	pal		2	2	dmg-max		8	8	dex		5	5		0
M'avina's Caster 16	94	M'avina's Battle Hymn 16	amc	Grand Matron Bow	7	21	70	whit	whit						5	5000	2	gethit-skill	Terror	14	13	ac%		200	200	openwounds		25	25	res-cold	0	30	30	oskill	55	3	3	att		35	35	hit-skill	66	5	1	ease		-50	-50					lifesteal		8	8	dmg%		250	250	red-mag		15	15	att-demon		250	250	dmg%		50	50	ease		-20	-20	move3		30	30	ac%		100	100	dex		15	15	att		75	75		0
Telling of Beads 16	95	The Disciple 16	amu	Amulet	1	39	30	lblu	lblu						5	5000		manasteal		5	5	cast2		20	20	red-dmg%		10	10	ac%		220	220	regen-mana		15	15	dmg/lvl	10			swing2		20	20	ac		400	400	dmg-demon		50	50	fireskill		1	1	hp/lvl	10			skilltab	13	2	2	lifesteal		5	5	oskill	34	3	3	swing2		15	15	hp/lvl	10			vit		22	22	mana		15	15	hp		75	75		0
Laying of Hands 16	96	The Disciple 16	ulg	Bramble Mitts	7	39	63	lblu	lblu						5	5000		red-dmg		5	5	res-pois		30	30	ac/lvl	30			dmg%		190	190	swing3		40	40	thorns	0	8	8	hp		15	15	gethit-skill	48	10	3	oskill	54	3	3	dmg/lvl	10			hit-skill	56	2	4	pal		2	2	ac-miss		250	250	heal-kill		10	10	res-all		25	25	sor		2	2	str		5	5	res-fire		12	12	oskill	21	5	5		0
Rite of Passage 16	97	The Disciple 16	xlb	Demonhide Boots	7	39	29	lblu	lblu						5	5000		att		100	100	dex		15	15	str		15	15	balance2		30	30	dmg%		80	80	pal		2	2	ltng-min		1	1	ltng-max		40	40	red-mag		4	4	ac		25	25	res-pois		55	55	str		10	10	oskill	Battle Command	6	6	vit		10	10	swing2		20	20	dex		6	6	res-all		8	8	skilltab	5	1	1	state	fullsetgeneric	1	1		0
Spiritual Custodian 16	98	The Disciple 16	uui	Dusk Shroud	7	39	43	lblu	lblu						5	5000		dmg%		50	50	res-pois		7	7	dmg-min		5	5	oskill	225	6	6	regen-mana	0	12	12	ltng-min		1	1	ltng-max		58	58	gethit-skill	Slow Missiles	4	5	dmg-max		30	30	res-fire		20	20	dmg-to-mana		10	10	ass		1	1	enr		10	10	mag%		19	19					hp		50	50					balance2		30	30						0
Credendum 16	99	The Disciple 16	umc	Mithril Coil	7	39	65	lblu	lblu						5	5000		deadly		25	25	hp/lvl	4			swing2		30	30	noheal		1	1	dmg-to-mana		37	37	att	0	60	60	gethit-skill	48	14	5	oskill	45	8	8	allskills		2	2	stupidity		2	2	res-pois-len		50	50	oskill	87	3	3	block2		30	30	noheal		1	1	ac%		190	190	ethereal		1	1	vit		5	5	regen-stam	0	50	50	stam	0	10	10		0
Dangoon's Teaching 16	100	Heaven's Brethren 16	7ma	Reinforced Mace	7	55	68								5	5000		dmg-norm		27	27	ac%		220	220	reduce-ac		33	33	hit-skill	Decrepify	33	1	aura	Fanaticism	15	15	swing3		30	30	skilltab	14	2	2	str	0	6	6	oskill	150	2	2	pois-min	0	34	34	allskills		1	1	pois-max	0	34	34	crush		5	5	pois-len	0	75	75	enr		10	10	crush		50	50	gethit-skill	48	25	3	swing2		35	35	manasteal	0	3	3		0
Heaven's Taebaek 16	101	Heaven's Brethren 16	uts	Ward	7	55	81								5	5000		noheal		1	1	abs-cold%		25	25	res-all	0	25	25	mana		-5	-5	str		30	30	ltng-min		1	1	ltng-max		11	11	dmg%		280	280	dmg-ltng		473	473	nec		1	1	res-ltng-max		5	5	enr		15	15	skilltab	7	3	3	mag%		50	50	dmg-pois	150	299	299	str		30	30	red-mag		3	3	mana		7	7	thorns		5	5		0
Haemosu's Adament 16	102	Heaven's Brethren 16	xrs	Cuirass	7	55	44								5	5000		res-pois		25	25	ac%		30	30	oskill	63	1	1	block		20	20	crush		10	10	abs-mag		15	15	dmg-pois	150	349	349	lifesteal		4	4	ac		175	175	ac%		120	120	nofreeze		1	1	thorns		3	3	oskill	51	10	10	block		20	20	reduce-ac		25	25	hp	0	24	24	hit-skill	Firestorm	12	16	skilltab	2	3	3	pierce-cold		24	24		0
Ondal's Almighty 16	103	Heaven's Brethren 16	uhm	Spired Helm	7	55	69								5	5000		att		75	75	dex		5	5	ac%		50	50	ac		50	50	lifesteal	0	3	3	fire-min		3	3	fire-max		12	12	reduce-ac		50	50	res-cold	0	30	30	dex/lvl	4			allskills		1	1	att%		250	250	att-skill	Nova	15	22	ac%		65	65	dmg-max		7	7	mag%	0	15	15	att%	0	20	20	att-skill	36	5	3	res-all		30	30		0
Guillaume's Face 16	104	Orphan's Call 16	xhm	Winged Helm	7	41	34	lgry	lgry						5	5000		regen-mana		20	20	skilltab	13	3	3	lifesteal		9	9	hit-skill	Twister	8	13	crush		33	33	balance3		60	60	ease		-40	-40	mana		25	25	res-fire		15	15	hp/lvl	4			cast2		20	20	lifesteal		10	10	ethereal		1	1	oskill	Evade	6	6	ama	0	2	2	mana		20	20	mana/lvl	6			balance2		25	25	str		6	6		0
Wilhelm's Pride 16	105	Orphan's Call 16	ztb	Battle Belt	7	41	42	lgry	lgry						5	5000		dmg-ltng		200	200	ease		-25	-25	cast1		20	20	swing2		10	10	oskill	Revive	8	8	crush		25	25	red-dmg		2	2	skilltab	10	1	1	att%	0	40	40	light-thorns		15	15	ac%		10	10	rep-dur	20			lifesteal		12	12	manasteal		7	7	gethit-skill	Slow Missiles	4	5	swing2		25	25	swing2		40	40	gethit-skill	Cyclone Armor	5	15	skilltab	12	1	1		0
Magnus' Skin 16	106	Orphan's Call 16	xvg	Sharkskin Gloves	7	41	37	lgry	lgry						5	5000		dru		2	2	cast2		30	30	oskill	278	3	3	ac%		80	80	manasteal		5	5	ac		160	160	allskills		1	1	nofreeze	0	1	1	nec	0	1	1	dmg%		170	170	res-all		40	40	regen-mana		10	10	oskill	Heart of Wolverine	5	5	ac%		120	120	res-pois		-70	-70	str		15	15	ac		100	100	res-pois		20	20	dmg-max		3	3		0
Wihtstan's Guard 16	107	Orphan's Call 16	xml	Round Shield	7	41	29	lgry	lgry						5	5000		dmg-max		25	25	red-dmg		3	3	res-pois		90	90	thorns		5	5	att%		80	80	nofreeze		1	1	mana		40	40	skilltab	18	2	2	half-freeze		1	1	slow		50	50	light		-4	-4	noheal		1	1	mana/lvl	12			oskill	Summon Grizzly	13	13	regen		10	10	cold-min		9	9	dmg-cold	50	35	35	cold-max		30	30	dmg-to-mana		45	45		0
Hwanin's Splendor 16	108	Hwanin's Majesty 16	xrn	Grand Crown	7	28	45								5	5000		swing2		20	20	sock	3			slow		30	30	move2		20	20	oskill	83	15	15	dmg-cold	150	364	364	att	0	40	40	nofreeze		1	1	manasteal		14	14	dmg-fire		6	6	mana		18	18	regen-mana		33	33	fire-min		6	6	dex		15	15	fire-max		8	8	skilltab	16	1	1	hit-skill	44	10	3	str		15	15	block		10	10		0
Hwanin's Refuge 16	109	Hwanin's Majesty 16	xcl	Tigulated Mail	7	28	30								5	5000		dmg-ac		-50	-50	swing2		20	20	regen-mana		25	25	gethit-skill	88	10	2	lifesteal		15	15	nec		3	3	oskill	Critical Strike	2	2	res-ltng		35	35	res-cold		35	35	mana		15	15	balance2		30	30	light-thorns		15	15	openwounds		50	50	ac		6	6	dmg%		180	180	hit-skill	45	10	3	hit-skill	Twister	5	15					hp		40	40		0
Hwanin's Seal 16	110	Hwanin's Majesty 16	mbl	Belt	7	28	35								5	5000		openwounds		33	33	oskill	13	3	3	indestruct		1	1	ac%		75	75	regen-stam		32	32	pierce-ltng		15	15	gethit-skill	42	10	3	bar		1	1	gold%		40	40	res-all		20	20	ac		300	300	oskill	16	2	2	res-ltng		11	11	hit-skill	87	5	1	res-all		15	15	ac%		50	50	skilltab	3	2	2	res-ltng		15	15						0
Hwanin's Justice 16	111	Hwanin's Majesty 16	9vo	Bill	7	28	28								5	5000		enr		15	15	ac-miss		50	50	dur		20	20	dmg-fire		240	240	move2		30	30	res-pois		50	50	lifesteal	0	3	3	manasteal		3	3	dmg-pois	75	21	21	cast2		20	20	swing3		30	30	allskills		1	1	move3		40	40	fire-min		4	4	str	0	3	3	fire-max		11	11	nec	0	1	1	str		15	15	res-pois		12	12		0
Sazabi's Cobalt Redeemer 16	112	Sazabi's Grand Tribute 16	7ls	Cryptic Sword	7	34	73	dblu	dblu						5	5000		manasteal		100	100	res-pois		10	10	ac/lvl	24			str		20	20	lifesteal	0	4	4	mana		26	26	oskill	24	5	5	balance2		25	25	hp		150	150	ac		30	30	enr		10	10	hp/lvl	8			light-thorns		3	3	indestruct		1	1	mana/lvl	12			att/lvl	16			manasteal		10	10	res-ltng		33	33	block		7	7		0
Sazabi's Ghost Liberator 16	113	Sazabi's Grand Tribute 16	upl	Balrog Skin	7	34	67	dblu	dblu						5	5000		ac-miss		50	50	stam		15	15	ac-hth		200	200	light		1	1	pierce-cold		60	60	indestruct		1	1	dmg-min		5	5	manasteal		10	10	dex		9	9	stamdrain		10	10	dmg-fire		35	35	dmg/lvl	8			dex		3	3	allskills		4	4	dmg%		180	180	ac		40	40	mana%		10	10	hp		35	35	move3		30	30		0
Sazabi's Mental Sheath 16	114	Sazabi's Grand Tribute 16	xhl	Basinet	7	34	43	dblu	dblu						5	5000		ac		20	20	res-all-max		5	5	res-ltng		50	50	ac%		200	200	pal		2	2	indestruct		1	1	skilltab	18	1	1	gold%		80	80	str	0	15	15	thorns		15	15	red-mag		10	10	res-fire		40	40	slow		25	25	att		330	330	manasteal		7	7	ease		-20	-20	res-fire	0	30	30	ac		150	150						0
Bul-Kathos' Sacred Charge 16	115	Bul-Kathos' Children 16	7gd	Colossus Blade	7	50	61	dgrn	dgrn						5	5000		lifesteal		5	5	dmg-norm		27	27	res-fire		50	50	skilltab	12	2	2	bar		2	2	res-ltng-max		5	5	block2		20	20	ac-miss		50	50	dmg-pois	75	75	75	swing2		40	40	mag%		10	10	enr		50	50	block2		30	30	pal		2	2	swing2		20	20	att		20	20	thorns		14	14	mana		100	100	balance2		8	8		0
Bul-Kathos' Tribal Guardian 16	116	Bul-Kathos' Children 16	7wd	Mythical Sword	7	50	54	dgrn	dgrn						5	5000		mana		-5	-5	fire-min		27	27	fire-max		43	43	lifesteal		10	10	ac%		100	100	mag%		10	10	death-skill	Meteor	100	48	hp		40	40	ease		-20	-20	openwounds		35	35	ac%		30	30	dmg%		165	165	pal		2	2	ac/lvl	16			gethit-skill	56	2	0	att		200	200	att%		150	150	str		10	10	dmg-ltng		32	32		0
Cow King's Horns 16	117	Cow King's Leathers 16	xap	War Hat	7	20	25								5	5000		lifesteal		5	5	skilltab	6	2	2	light		2	2	crush		33	33	gethit-skill	Terror	14	13	res-all		18	18	str		3	3	att		15	15	mag%		50	50	bloody		5	5	dmg-max		25	25	res-pois-len		50	50	ac		25	25	res-pois		50	50	stupidity		1	1	res-pois-max	0	10	10	half-freeze		1	1	hp		50	50	hp		50	50		0
Cow King's Hide 16	118	Cow King's Leathers 16	stu	Studded Leather	7	20	18								5	5000		res-all		15	15	dmg%		290	290	mana%		10	10	ama		2	2	ac%		50	50	res-fire	0	12	12	skilltab	9	3	3	dmg-max		2	2	dmg-pois	125	185	185	dmg-norm		100	100	mag%		25	25	oskill	Immolation Arrow	18	18	oskill	61	1	1	mana-kill		15	15	light-thorns		27	27	red-dmg		2	2	pierce-immunity-magic		300	300	red-mag		1	1	att		20	20		0
Cow King's Hoofs 16	119	Cow King's Leathers 16	vbt	Heavy Boots	7	20	13								5	5000		str		5	5	stamdrain		20	20	dmg-ltng		250	250	regen-stam		15	15	stam/lvl	8			skilltab	17	7	7	ac/lvl	8			ac-miss		30	30	oskill	53	6	6	dmg%		60	60	dmg%		200	200	ac%		180	180	hit-skill	Taunt	18	18	balance2		25	25	ease		-40	-40	ease		-40	-40	res-all		11	11	ac		8	8	stamdrain		90	90		0
Naj's Puzzler 16	120	Naj's Ancient Set 16	6cs	Elder Staff	7	43	78								5	5000		res-all		5	5	dmg-norm		32	32	lifesteal		10	10	att/lvl	12			att-undead		250	250	ac		225	225	ac%		175	175	swing2		20	20	manasteal		6	6	balance2		20	20	res-all		5	5	deadly/lvl	12			vit		10	10	oskill	Raven	7	7	mana		40	40	res-pois		100	100	balance2		30	30	mana	0	60	60	death-skill	Chain Lightning	100	44		0
Naj's Light Plate 16	121	Naj's Ancient Set 16	ult	Hellforge Plate	7	43	71								5	5000		att		70	70	sor		3	3	hp		30	30	gold%		160	160	deadly		15	15	res-ltng		15	15	light		2	2	demon-heal		20	20					att		125	125	balance2		30	30	regen		20	20	str		15	15	cold-min	0	1	1	dex		15	15	cold-max	0	3	3	res-cold	0	30	30	cold-len	0	25	25	regen-mana		15	15		0
Naj's Circlet 16	122	Naj's Ancient Set 16	ci0	Circlet	7	43	28								5	5000		att		100	100	dmg-pois	150	192	192	noheal		1	1	regen		10	10	ac		210	210	res-cold		40	40	sock		2	2	res-all		15	15	dmg-min		20	20	mana		15	15	gold%		100	100	move1		10	10	noheal		1	1	cold-min		10	10	mana-kill		4	4	cold-max		20	20	res-fire		9	9	thorns		1	1	allskills		2	2		0
McAuley's Paragon 16	123	McAuley's Folly 16	cap	Cap	3	20	25	lpur	lpur						5	5000		regen		15	15	dmg%		210	210	ac		40	40	ease		-20	-20	att		120	120	red-dmg		4	4	dex		9	9	enr		30	30	res-fire-max	0	10	10	hit-skill	244	4	8	mag%		25	25	vit		20	20	swing2		20	20	dmg-to-mana		12	12	bar		2	2	ac		12	12	dmg-max		1	1	balance1		7	7	str		4	4		0
McAuley's Riprap 16	124	McAuley's Folly 16	vbt	Heavy Boots	7	20	20	lpur	lpur						5	5000		enr		5	5	nec		1	1	pal		2	2	dur		100	100	res-fire		40	40	res-all		40	40	dmg%		300	300	ac		100	100	mag%		50	50	light		2	2	dmg%		150	150	dmg-to-mana		50	50	ac		120	120	att		250	250	ac/lvl	20			ac		75	75	fireskill		1	1	oskill	56	5	5	enr		9	9		0
McAuley's Taboo 16	125	McAuley's Folly 16	vgl	Heavy Gloves	7	20	28	lpur	lpur						5	5000		att		100	100	balance1		10	10	ac		25	25	res-all		7	7	regen		12	12	mana-kill		5	5	crush		25	25	str		25	25					manasteal		3	3	res-ltng		25	25	light-thorns		27	27	ac%		100	100	dmg-cold	75	14	14	oskill	127	4	4	enr		3	3	dmg-ltng		50	50	att%		5	5	ignore-ac		1	1		0
McAuley's Superstition 16	126	McAuley's Folly 16	bwn	Bone Wand	7	20	25	lpur	lpur						5	5000		ac		100	100	dex		15	15	ass		1	1	vit		10	10	enr		15	15	light		2	2	fire-min		15	15	fire-max		50	50	hp/lvl	8			dex		10	10	mana		20	20	dmg%		270	270	str		10	10	crush		50	50	dex		15	15	hit-skill	Frozen Orb	15	13	indestruct		1	1	att-undead		175	175	enr		9	9		0
Civerb's Ward 17	0	Civerb's Vestments 17	lrg	Large Shield	7	13	9	lyel	lyel						5	2500	1	oskill	111	3	3	dmg%		160	160	red-dmg		2	2	res-all		15	15	thorns	0	4	4	cold-min		7	7	cold-max		14	14	enr		6	6	att-skill	36	5	3	stupidity		1	1	dmg%		240	240	ac/lvl	24			res-fire		30	30	ac		200	200	hit-skill	45	10	3	swing2		30	30					res-all		50	50						0
Civerb's Icon 17	1	Civerb's Vestments 17	amu	Amulet	7	13	9	lyel	lyel						5	2500	2	mag%		50	50	lifesteal		7	7	dmg%		200	200	crush		25	25	aura	Holy Freeze	18	18	res-all		70	70	block		25	25	ac		8	8	oskill	59	2	2	red-mag		3	3	res-cold		15	15	res-fire-max		10	10	gethit-skill	121	5	7	aura	Holy Fire	16	16	dmg-cold		220	220	res-all		20	20	move3		40	40	oskill	72	8	8	dmg-undead		200	200		0
Civerb's Cudgel 17	2	Civerb's Vestments 17	gsc	Grand Scepter	7	13	9	lyel	lyel						5	2500		cold-min		7	7	cold-max		15	15	dmg-demon		350	350	dmg%		260	260	gethit-skill	Dim Vision	15	3	ignore-ac		1	1	oskill	37	3	3	indestruct		1	1	hit-skill	Frost Nova	25	22	res-ltng		25	25	deadly		25	25	att		250	250	move2		30	30	move2		30	30	res-cold		10	10	swing2		20	20	regen-mana		17	17	dmg-max		4	4						0
Hsarus' Iron Heel 17	3	Hsarus' Defense 17	mbt	Chain Boots	7	4	3	dred	dred						5	2500	2	skilltab	17	1	1	hit-skill	66	5	1	deadly/lvl	4			dmg-max		15	15	noheal		1	1	cold-min		10	10	cold-max		20	20	dmg-min		3	3	res-fire		15	15	crush		20	20	str		20	20	dur		100	100	dmg-max		3	3	block2		25	25					res-all		10	10					enr		3	3						0
Hsarus' Iron Fist 17	4	Hsarus' Defense 17	buc	Buckler	7	4	3	dred	dred						5	2500	2	dmg%		160	160	att%		40	40	rip		1	1	dmg-min		8	8	res-all		5	5	pal	0	2	2													att%		50	50	dmg%		50	50	ac%		130	130	ac		10	10	lifesteal		9	9	dru		2	2	enr		15	15	slow		25	25	oskill	84	3	3	att-undead		325	325		0
Hsarus' Iron Stay 17	5	Hsarus' Defense 17	mbl	Belt	7	4	3	dred	dred						5	2500	2	cast2		20	20	dmg-ltng		150	150	indestruct		1	1	balance2		30	30	res-all		8	8	res-fire-max		5	5	mag%	0	15	15	res-cold	0	20	20	light		1	1	regen-mana		15	15	slow		25	25	mag%	0	9	9	att-demon		200	200	att%		50	50	dmg-fire		240	240	fire-min		2	2	rip		1	1	fire-max		3	3	oskill	264	13	13		0
Cleglaw's Tooth 17	6	Cleglaw's Brace 17	lsd	Long Sword	7	6	4	lred	lred						5	2500	2	thorns		15	15	regen-mana		10	10	hp/lvl	10			crush		40	40	str		15	15	cast3		20	20	ac	0	8	8	swing2		20	20	mana		34	34	ltng-min		1	1	att		250	250	ltng-max		120	120	manasteal		8	8	pois-min	0	51	51	dmg%		300	300	pois-max	0	51	51	oskill	Attract	17	17	pois-len	0	100	100	dmg-demon		75	75		0
Cleglaw's Claw 17	7	Cleglaw's Brace 17	sml	Small Shield	7	6	4	lred	lred						5	2500	2	dmg%		100	100	crush		25	25	res-fire		25	25	oskill	Battle Cry	4	4	ac%		200	200	swing2		20	20	res-ltng		30	30	fire-min		2	2	fire-max		4	4	light		3	3	dmg-norm		40	40	crush		33	33					dmg%		80	80					dmg-pois	75	36	36					mana		7	7						0
Cleglaw's Pincers 17	8	Cleglaw's Brace 17	mgl	Chain Gloves	7	6	4	lred	lred						5	2500	2	thorns		8	8	cold-min		13	13	cold-max		25	25	regen-mana		17	17	ac%		180	180	lifesteal		5	5	swing2		10	10	fire-min		7	7	fire-max		14	14	att		50	50	red-mag		15	15	red-mag		1	1					allskills		1	1					dmg%	0	20	20														0
Iratha's Collar 17	9	Iratha's Finery 17	amu	Amulet	7	21	15	lgry	lgry						5	2500	2	manasteal		5	5	res-pois		25	25	ac		10	10	sor		3	3	gethit-skill	48	5	7	allskills		2	2	red-mag		8	8	att		76	76	skilltab	15	2	2	res-ltng-max		10	10	block2		30	30	skilltab	13	3	3	gethit-skill	Fade	5	8	res-pois		30	30	res-ltng		-70	-70	stam		20	20	dmg%		50	50	att		60	60	pal		2	2		0
Iratha's Cuff 17	10	Iratha's Finery 17	tgl	Light Gauntlets	7	21	15	lgry	lgry						5	2500	2	block2		30	30	lifesteal		9	9	fire-min	0	8	8	fire-max	0	12	12	mag%		80	80	dmg-fire		45	45	nec		2	2	pierce-immunity-magic		300	300	ac		40	40	res-fire		37	37	manasteal		8	8	ac%		200	200	skilltab	8	3	3	abs-ltng		14	14	noheal		1	1	balance2		30	30	oskill	72	6	6	att		50	50	hp		20	20		0
Iratha's Coil 17	11	Iratha's Finery 17	crn	Crown	7	21	15	lgry	lgry						5	2500	2	block2		40	40	block		20	20	att-undead		250	250	dmg%		320	320	ac%		75	75	move3		30	30													dmg-cold	3	38	38	dmg-cold	3	38	38	pierce-pois		25	25					stam		32	32					hp		40	40														0
Iratha's Cord 17	12	Iratha's Finery 17	tbl	Heavy Belt	7	21	15	lgry	lgry						5	2500	2	hit-skill	91	4	1	ac%		200	200	dmg-fire		72	72	vit		20	20	pal		3	3	levelup-skill	Venom	100	23	dmg-max		3	3	dmg-ltng		240	240	dmg%	0	100	100	dmg%		100	100	skilltab	16	1	1	allskills		1	1	regen		10	10	thorns		8	8	att		8	8	indestruct		1	1	thorns		6	6	att-undead		50	50	red-mag		6	6		0
