index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Vampiregaze	208	100	1			1		49	41	xh9	Grim Helm		3	5000	cgrn	cgrn		invbhmu				res-pois		50	50	ac%		20	30	enr		10	10	swing2		20	20	dmg%		220	320	ac		75	75	light		1	1	res-cold		21	30	mana-kill		1	3	move3		40	40	regen-mana		15	15	hp%		27	27		0
The Spirit Shroud	209	100	1			1		36	28	xui	Ghost Armor		3	5000								manasteal		14	14	lifesteal		10	10	res-pois		55	55	att%	0	35	35	hp		20	20	dmg-ltng		1	6	cold-min		2	4	cold-max		4	15	cold-len		100	100	str		5	5	dmg-mag		60	120	hit-skill	56	2	6		0
Skin of the Vipermagi	210	100	1			1		37	29	xea	SerpentSkin Armor		3	5000	dblu	dblu						swing2		20	20	dmg%		5	5	dmg-ltng		1	120	att		150	150	oskill	22	3	3	gethit-skill	245	4	5	abs-fire%		20	30	vit		30	40	dmg-demon		200	250	aura	Holy Freeze	18	18	res-all		3	7	res-ltng-max	0	10	10		0
Skin of the Flayerd One	211	100	1			1		39	31	xla	Demonhide Armor		3	5000	lred	lred						dmg-ltng		1	40	light		2	2	str		15	15	block2		20	20	nofreeze		1	1	hit-skill	Twister	33	22	half-freeze		1	1	move3		40	40	res-ltng		33	33	dmg-norm		10	20	dex		1	3	ac-miss		50	50		0
Ironpelt	212	100	1			1		41	33	xtu	Tresllised Armor		3	5000	dgry	dgry		invxtuu				hp		16	20	cold-min		5	7	cold-max		9	15	enr		11	15	ltng-min		1	1	ltng-max		2	3	att		50	75	res-pois	0	21	30	dmg-min		8	8	dex		7	10	lifesteal		7	7	dmg%		5	5		0
Spiritforge	213	100	1			1		43	35	xng	Linked Mail		3	5000								att		70	70	manasteal		3	3	red-mag		9	13	att/lvl	10			str		10	20	res-all		15	15	hit-skill	101	10	3	indestruct		1	1	res-pois	0	28	28	dmg-demon		75	75	mana		13	17	att%	0	40	40		0
Crow Caw	214	100	1			1		45	37	xcl	Tigulated Mail		3	5000								str		20	30	fire-min		8	8	fire-max		12	12	manasteal		5	5	all-stats		30	30	res-fire		25	25	skilltab	9	1	1	res-ltng	0	28	28	swing2		30	30	res-pois		30	30	ac		25	25	kill-skill	Chain Lightning	50	20		0
Shaftstop	215	100	1			1		46	38	xhn	Mesh Armor		3	5000	dgry							res-all		10	20	res-pois-len		50	50	dmg-fire		3	6	hp		20	20	light		4	4	openwounds		50	50	ac%		150	180	dmg-demon		25	50	dmg%		240	290	regen-mana		10	10	att	0	40	40	res-ltng		21	30		0
Duriel's Shell	216	100	1			1		49	41	xrs	Cuirass		3	5000	oran	oran						dmg-fire		25	75	thorns		26	26	dmg-to-mana		30	30	rep-dur	20			pierce-pois		20	25	str		10	10	swing3		30	30	hp	0	31	31	res-pois		21	25	res-fire		5	10	dmg-pois	125	52	52	hp%		27	27		0
Skullder's Ire	217	100	1			1		50	42	xpl	Russet Armor		3	5000								oskill	92	1	1	ltng-min		1	1	ltng-max		8	8	mana		25	25	skilltab	0	1	1	gethit-skill	62	3	6	res-cold		15	25	gold%/lvl	20			freeze		2	2	res-fire	0	5	10	dur		25	25	dmg%		150	200		0
Guardian Angel	218	100	1			1		53	45	xlt	Templar Coat		3	5000	lgry	lgry						ac		50	50	ac-miss		200	200	swing2		40	40	light		3	3	oskill	Blizzard	12	16	cast2		10	10	ease		-40	-40	lifesteal		8	10	move1		10	10	hp		21	25	res-pois-len		50	50	dex		7	9		0
Toothrow	219	100	1			1		56	48	xld	Sharktooth Armor		3	5000	whit	whit						red-dmg		3	3	manasteal		7	7	dmg/lvl	8			ac%		130	170	rip		1	1	res-ltng		30	30	skilltab	11	3	3	dmg-pois	75	18	18	lifesteal		5	6	res-pois-len		75	75	oskill	84	3	3	dex		4	6		0
Atma's Wail	220	100	1			1		59	51	xth	Embossed Plate		3	5000								ac		100	100	pal	0	2	2	fire-min		1	1	fire-max		2	3	res-pois		10	10	pois-min		32	32	pois-max		72	72	pois-len		100	100	aura	Redemption	10	15	res-all		50	50	nofreeze		1	1	red-dmg		4	4		0
Black Hades	221	100	1			1		61	53	xul	Chaos Armor		3	5000								lifesteal		7	7	hp		15	15	hit-skill	66	5	2	dmg%		180	230	oskill	Raven	15	8	swing2		60	60	ac-miss		200	250	nofreeze		1	1	sor		2	2	res-fire		50	50	dmg-pois	150	299	299	dex		7	9		0
Corpsemourn	222	100	1			1		63	55	xar	Ornate Armor		3	5000	blac	blac		invxaru				ltng-min		1	1	ltng-max		361	480	lifesteal		5	5	manasteal		3	3	oskill	72	5	5	crush		30	30	att		73	87	res-all		13	13	dmg%		80	80	dex		10	10	res-cold		35	35	res-fire		30	30		0
Que-Hegan's Wisdon	223	100	1			1		59	51	xtp	Mage Plate		3	5000								crush		50	50	att		150	150	pal		2	2	dex		20	20	dmg-fire		211	371	balance2		10	10	swing3		30	30	regen-stam/lvl	2			res-cold		16	20	skilltab	7	1	1	hp		41	45	lifesteal		3	4		0
Visceratuant	224	100	1			1		36	28	xuc	Defender		3	5000	dred			invbucu				dmg-max		2	2	cold-min		1	2	cold-max		3	5	cold-len		50	250	sock	3			oskill	Guided Arrow	3	5	openwounds		50	50	swing3		30	30	manasteal		2	3	dmg-pois	150	349	349	crush		15	15	res-ltng		75	75		0
Mosers Blessed Circle	225	100	1			1		39	31	xml	Round Shield		3	5000				invxmlu				gethit-skill	Mind Blast	6	14	hp		25	25	swing2		20	20	dex		1	3	gold%/lvl	20			lifesteal		9	12	ama		1	1	pois-min		128	128	pois-max		128	128	pois-len		75	75	ease		-15	-15	oskill	84	2	2		0
Stormchaser	226	100	1			1		43	35	xrg	Scutum		3	5000	cblu	cblu		invxrgu				dex		10	10	dmg%		150	180	hp		80	80	hit-skill	Quickness	5	1	sor		1	1	swing3		40	40	str	0	8	8	att	0	10	20	dmg-max		2	5	ease		-15	-15	oskill	11	8	8	dmg-cold/lvl	12				0
Tiamat's Rebuke	227	100	1			1		46	38	xit	Dragon Shield		3	5000	lgry	lgry		invkitu				ac-miss		50	50	vit		5	5	light		4	4	dmg-demon		50	100	deadly		66	66	balance3		25	25	ac		45	50	indestruct		1	1	thorns		10	10	res-pois		11	20	move2		5	5	res-all	0	10	10		0
Kerke's Sanctuary	228	100	1			1		52	44	xow	Pavise		3	5000	lgrn	lgrn		invtowu				swing2		20	20	dex		8	8	res-all		25	25	mana-kill		7	12	ac-miss		50	50	vit		5	10	gethit-skill	88	10	2	res-fire		11	12	cold-min		16	23	cold-max		46	90	gold%/lvl	25			ease		-40	-40		0
Radimant's Sphere	229	100	1			1		58	50	xts	Ancient Shield		3	5000				invgtsu				thorns		3	10	nofreeze		1	1	pierce-pois		40	50	lifesteal		5	7	dmg-demon		200	250	swing2		45	45	att		110	110	dmg-to-mana		15	15	indestruct		1	1	bar	0	2	2	hp		35	35	allskills		2	2		0
Lidless Wall	230	100	1			1		49	41	xsh	Grim Shield		3	5000	dgld	dgld		invxshu				att		150	200	res-all		20	20	light		4	4	pal		1	2	deadly		33	33	ignore-ac		1	1	allskills		2	2	dex		15	15	balance2		25	25	res-fire	0	22	22	res-pois-len		50	50	res-ltng	0	25	25		0
Lance Guard	231	100	1			1		43	35	xpk	Barbed Shield		3	5000				invxpku				regen		3	5	enr		4	6	skilltab	6	2	2	oskill	Summon Grizzly	5	13	swing2		30	30	gethit-skill	76	6	2	dmg-pois	125	103	103	ease		-50	-50	dur		20	20	cold-min	0	4	4	cold-max	0	7	7	cold-len	0	50	50		0
Venom Grip	232	100	1			1		37	29	xlg	Demonhide Gloves		5	5000	dgrn							dex		15	15	att%		50	50	dmg-fire		55	115	ac%		120	120	gethit-skill	92	5	5	skilltab	2	1	3	ac		170	210	res-all		13	13	heal-kill		14	14	indestruct		1	1	hp		50	50	dmg%		81	100		0
Gravepalm	233	100	1			1		39	32	xvg	Sharkskin Gloves		5	5000								crush		20	20	oskill	96	3	3	freeze		1	1	hp		15	15	ac		12	12	swing2		50	50	ac%		180	220	ac-miss		100	160	cast2		45	45	res-cold		13	15	skilltab	6	1	1	move3		30	30		0
Ghoulhide	234	100	1			1		44	36	xmg	Heavy Bracers		5	5000								openwounds		35	35	oskill	121	2	2	dmg%		160	200	res-pois		20	20	str/lvl	4			regen-mana		33	33	cast2		20	20	aura	Meditation	12	17	res-ltng	0	28	28	lifesteal	0	3	3	dmg-fire		1	2	ac		175	175		0
Lavagout	235	100	1			1		50	42	xtg	Battle Guantlets		5	5000	lyel							gethit-skill	Fade	5	15	res-fire-max		5	5	openwounds		50	50	hit-skill	Venom	25	15	dmg-min		5	5	dmg-mag		100	180	ama		1	1	manasteal		6	8	ac		15	15	noheal		1	1	fire-min		1	1	fire-max		2	5		0
Hellmouth	236	100	1			1		55	47	xhg	War Gauntlets		5	5000								light		3	3	red-dmg%		10	15	hit-skill	72	8	3	dmg%		150	200	crush		33	33	att		200	200	ac%		60	60	regen	0	4	4	sor		1	1	str		4	6	enr		11	15	cold-len	0	100	100		0
Infernostride	237	100	1			1		37	29	xlb	Demonhide Boots		5	5000								slow		50	50	manasteal		9	9	dmg-ltng		1	250	move2		20	20	dmg-cold	3	24	38	dmg%		100	100	str		15	15	att%		30	30	mag%		20	30	nec		2	2	regen-mana		15	15	res-all		50	50		0
Waterwalk	238	100	1			1		40	32	xvb	Sharkskin Boots		5	5000								skilltab	7	1	1	skill-rand	3	36	60	swing2		20	20	att		150	150	sor		1	1	res-pois		7	15	nec	0	1	1	oskill	Summon Grizzly	5	13	pois-min		8	8	pois-max		24	24	pois-len		75	75	vit/lvl	4				0
Silkweave	239	100	1			1		44	36	xmb	Mesh Boots		5	5000								att-skill	47	10	6	sor		3	3	ac%		120	150	block2		25	25	dmg-ltng		1	473	dmg%		260	340	oskill	41	3	3	balance2		15	15	enr		10	10	mana		30	30	att		151	300	light		1	1		0
Wartraveler	240	100	1			1		50	42	xtb	Battle Boots		5	5000								lifesteal	0	8	8	allskills		1	1	swing2		20	20	dmg%		35	35	res-pois		40	40	dmg-ltng		1	30	dmg-demon		51	100	oskill	Molten Boulder	80	16	pierce-fire		20	20	ltng-min		1	1	ltng-max		16	16	dmg-max		20	20		0
Gorerider	241	100	1			1		55	47	xhb	War Boots		5	5000	dred							dmg-max		10	30	dex		10	10	res-ltng-max		5	5	dmg%		160	210	allskills		2	2	pierce-cold		7	15	manasteal		5	7	cold-min	0	1	1	cold-max	0	3	3	cold-len	0	25	25	res-all		50	50	oskill	Bone Prison	13	33		0
String of Ears	242	100	1			1		37	29	zlb	Demonhide Sash		5	5000	lred							swing2		20	20	light		-2	-2	dur		50	50	dmg%		160	200	block2		30	30	res-fire		24	24	ac%		150	200	hit-skill	Weaken	8	3	all-stats		30	30	dmg-elem		50	200	vit		15	15	skilltab	0	2	2		0
Razortail	243	100	1			1		39	32	zvb	Sharkskin Belt		5	5000								thorns		5	5	dmg-cold	100	6	22	gethit-skill	48	14	5	light		-2	-2	dex		10	10	skilltab	11	2	2	att		49	76	block2		20	20	swing2		45	45	dmg%		200	200	ac-miss		35	35						0
Gloomstrap	244	100	1			1		45	36	zmb	Mesh Belt		5	5000								manasteal		6	6	thorns		20	20	lifesteal		5	9	att		200	200	gethit-skill	Chilling Armor	20	15	noheal		1	1	hp	0	38	38	skilltab	12	1	1	bar		2	2	ass		2	2	swing1		10	10	str		7	10		0
Snowclash	245	100	1			1		49	42	ztb	Battle Belt		5	5000								str		12	12	block		20	20	dmg-pois	200	384	384	freeze		2	2	dmg%		150	220	abs-cold/lvl	5			res-fire		15	20	hit-skill	Bone Spear	15	10	oskill	9	3	3	mana	0	5	10	att		58	72	dex		15	15		0
Thudergod's Vigor	246	100	1			1		55	47	zhb	War Belt		5	5000								red-mag		2	2	hit-skill	234	5	7	ease		-50	-50	mag%/lvl	8			light-thorns		10	10	pierce-fire		7	15	ac-miss		250	300	ignore-ac		1	1	res-fire		24	24	hp	0	31	31	dmg%	0	51	65	mag%		26	35		0
Elite Uniques																																																																							0
Harlequin Crest	248	100	1			1		69	62	uap	Shako		3	5000	cgrn	cgrn						skilltab	14	1	1	cast3		20	20	balance2		20	20	nec		1	1	cold-min		1	1	cold-max		1	4	cold-len		125	125	hit-skill	Twister	8	13	att-undead		100	200	hp	0	38	38	red-dmg%		10	15	oskill	54	3	3		0
Veil of Steel	249	100	1			1		77	73	uhm	Spired Helm		3	5000	lgry	lgry						crush		50	50	deadly/lvl	8			light		-4	-4	dmg%		210	260	mana-kill		2	2	ac		13	18	gold%		40	60	red-mag		4	6	enr		16	20	oskill	150	5	5	nofreeze		1	1	mana		150	150		0
The Gladiator's Bane	250	100	1			1		85	85	utu	Wire Fleece		3	5000	lgry	lgry						dmg-min		15	15	dur		20	20	dmg/lvl	25			ethereal		1	1	skilltab	2	2	4	dmg-mag		80	240	swing1		30	30	dmg-cold	75	25	75	hp		50	75	dmg%		41	50	att		28	42	regen-mana		15	15		0
Arkaine's Valor	251	100	1			1		85	85	upl	Balrog Skin		3	5000	lred	lred						skilltab	20	2	2	res-ltng		26	30	dur		50	50	noheal		1	1	balance1		7	7	str		11	15	fire-min	0	3	3	fire-max	0	4	4	res-all		30	40	vit		10	15	dmg-undead		300	300	dmg%		280	330		0
Blackoak Shield	252	100	1			1		67	61	uml	Luna		3	5000				invsmlu				att		50	100	swing2		20	20	ama		1	2	dmg-ltng		1	200	enr		20	20	oskill	Oak Sage	27	5	res-pois		30	50	ac		305	415	res-ltng	0	16	16	mana		11	20	mag%		5	10	red-mag		15	15		0
Stormshield	253	100	1			1		77	73	uit	Monarch		3	5000				invkitu				gethit-skill	240	7	1	thorns		5	5	regen-mana		20	20	dmg-pois	150	86	86	dmg%		50	70	allskills		2	2	balance2		30	30	block2		20	20	red-dmg		7	7	red-mag		2	2	ltng-min		1	1	ltng-max		44	71		0
Hellslayer	254	100	1			1		71	66	7bt	Decapitator		5	5000	dred	dred		invbtxu				dmg-pois	75	75	75	gold%		75	75	oskill	Wake of Fire Sentry	1	2	skilltab	11	1	1	crush		25	25	ac		1	1	swing3		40	40	mag%		20	50	block		20	20	fire-min		4	7	fire-max		8	19	sor		1	1		0
Messerschmidt's Reaver	255	100	1			1		75	70	7ga	Champion Axe		5	5000	blac	blac		invgaxu				cast2		50	50	swing2		30	30	bar		2	2	str		6	6	regen		8	8	ac		75	75	enr		10	10	res-cold		7	15	skilltab	14	1	1	res-ltng		5	5	gethit-skill	48	10	3	lifesteal		5	5		0
Baranar's Star	256	100	1			1		70	65	7mt	Devil Star		5	5000	lred	lred		invmstu				stamdrain		25	25	res-pois-max		15	15	red-dmg		2	2	cast2		50	50	oskill	83	40	6	allskills		1	2	swing2		35	35	gethit-skill	Dim Vision	15	3	dmg-cold		130	180	mana		30	30	str		20	20	ac		175	175		0
Schaefer's Hammer	257	100	1			1		83	79	7wh	Legendary Mallet		5	5000	lblu	lblu						gethit-skill	88	10	2	regen-mana		20	20	indestruct		1	1	dmg-ltng		1	120	ac/lvl	16			oskill	Whirlwind	1	1	cold-min		4	6	cold-max		8	11	cold-len		25	25	hp		35	35	att%		200	300	mag%	0	80	80		0
The Cranium Basher	258	100	1			1		85	87	7gm	Thunder Maul		5	5000	blac	blac						ethereal		1	1	res-all		5	5	light		1	1	gold%		25	40	ac		25	25	skilltab	20	2	2	abs-cold/lvl	5			mana	0	11	20	swing2		15	15	dmg%		170	180	fire-min	0	10	10	fire-max	0	16	16		0
Lightsabre	259	100	1			1		66	58	7cr	Phase Blade		5	5000	lblu			invcrsu				ac		30	30	dur		100	100	res-all		20	40	att-undead		50	50	fire-min		1	1	fire-max		2	6	mana		47	52	dmg-demon		25	50	slow		20	20	pal		2	2	light		2	2	oskill	34	4	4		0
Doombringer	260	100	1			1		75	69	7b7	Champion Sword		5	5000	dred	dred		invbswu				red-dmg%		10	10	allskills		1	1	dmg-to-mana		30	30	ac%		180	210	swing2		30	30	dmg-elem		55	160	res-cold		21	30	skilltab	11	3	3	res-fire		5	10	hp		6	10	lifesteal	0	5	5	res-all		30	30		0
The Grandfather	261	100	1			1		85	81	7gd	Colossus Blade		5	5000	lyel	lyel		invgsdu				dmg%		100	100	ac%		30	60	res-all-max		5	5	dmg-cold	100	6	22	res-ltng		50	50	hit-skill	Valkyrie	2	15	red-dmg		2	2	str		15	15	att-demon		25	50	hp		61	80	oskill	96	10	10	ac		200	200		0
Wizardspike	262	100	1			1		69	61	7dg	Bone Knife		5	5000	lgry	lgry						hp		1	5	ac		175	175	str		20	20	dex		10	10	balance3		30	30	mana%		20	20	ltng-min		1	1	ltng-max		3	6	ac%		120	150	dmg%		200	200	mana		50	50	regen		10	10		0
Constricting Ring	263	100	0			1		95	95	rin	Ring		5	5000	cblu	cblu						res-cold		8	10	res-pois-len		75	75	res-all		10	10	regen-stam		25	25	mana	0	31	31	dmg-ltng		1	74	deadly		50	50	move2		20	20	oskill	BloodGolem	15	22	att%		150	200	ignore-ac		1	1						0
Stormspire	264	100	1			1		78	70	7wc	Giant Thresher		5	5000	dblu	dblu						regen-stam		25	25	res-all		50	50	regen-mana		17	17	mana	0	41	60	light		3	3	att		50	50	hp	0	17	17	dmg-to-mana		20	20	abs-cold%		20	20	ltng-min		1	1	ltng-max		21	60	ac		321	321		0
Eaglehorn	265	100	1			1		77	69	6l7	Crusader Bow		5	5000	dgld	dgld						mag%/lvl	10			swing2		30	30	block2		25	25	str		15	15	enr		40	50	dmg%		30	60	red-dmg%		8	8	res-cold		7	15	res-pois		10	11	pal		1	1	dmg-pois	150	86	86	res-pois-len	0	75	75		0
Windforce	266	100	1			1		80	73	6lw	Hydra Bow		5	5000	dyel	dyel						fire-min		1	3	fire-max		6	10	res-all		30	30	enr		10	10	manasteal		8	9	swing2		40	40	gethit-skill	Lower Resist	20	12	dmg%		40	50	res-fire		30	30	regen		20	20	cast3		30	30	ac%		190	220		0
Rings																																																																							0
Bul Katho's Wedding Band	268	100	1			1		66	58	rin	Ring		5	5000	dpur	dpur						str		10	10	mana-kill		2	2	att%		40	40	res-fire		30	30	allskills		1	1	att-skill	47	10	6	regen-mana		15	15	dmg%		150	180	res-ltng	0	11	20	ltng-min		1	1	ltng-max		11	23	freeze		2	2		0
The Cat's Eye	269	100	1			1		58	50	amu	Amulet		5	5000	oran	oran						oskill	74	1	3	res-pois		50	50	ac		10	10	enr		10	10	ac-hth		200	200	openwounds		40	40	skilltab	6	1	3	reduce-ac		50	50	light		2	2	res-fire		38	45	gethit-skill	55	10	3	res-all		8	11		0
The Rising Sun	270	100	1			1		73	65	amu	Amulet		5	5000	lgld	lgld						red-dmg		3	3	red-mag		6	10	att-undead		100	200	dex		20	20	dmg%		200	270	abs-mag		9	11	dmg-pois	175	312	312	gethit-skill	38	12	4	regen		20	20	mana	0	31	40	res-ltng		4	7	state	fullsetgeneric	1	1		0
Crescent Moon	271	100	1			1		58	50	amu	Amulet		5	5000	lblu	lblu						mana		15	15	light		1	5	dmg-fire		150	250	swing2		20	20	regen-mana		33	33	openwounds		50	50	res-all		5	20	enr		10	10	ac		4	6	res-cold		5	15	block2		15	15	oskill	8	4	4		0
Mara's Kaleidoscope	272	100	1			1		80	67	amu	Amulet		5	5000	oran	oran						cold-min		1	1	cold-max		1	2	cold-len		50	50	vit		10	10	pierce-cold		40	60	att/lvl	16			res-pois-len		50	50	mag%		10	10	swing2		40	40	dmg%		200	240	att	0	61	80	dmg-max		5	7		0
Atma's Scarab	273	100	1			1		60	60	amu	Amulet		5	5000	cgrn	cgrn						res-cold		40	40	move3		40	40	fire-min		5	9	fire-max		10	20	dmg-und/lvl	16			res-pois		40	40	oskill	225	10	10	mana		20	20	res-fire		31	40	res-all	0	19	19	mag%		12	25	block		25	25		0
Dwarf Star	274	100	1			1		53	45	rin	Ring		5	5000	dgry	dgry						att		35	35	res-pois		10	10	dmg-norm		10	45	ac%		180	220	reduce-ac		25	25	sor		3	3	swing2		40	40	dmg-undead		250	300	dmg-cold	75	20	30	ac		75	75	dmg-max		3	4	dmg-pois	100	39	39		0
Raven Frost	275	100	1			1		53	45	rin	Ring		5	5000	cblu	cblu						dmg%		50	60	res-cold		25	25	swing2		30	30	allskills		1	1	deadly		50	50	pierce-ltng		3	5	kill-skill	Poison Nova	50	20	dmg-fire		120	120	mag%		100	100	mana-kill		1	3	dmg-max		2	2	dmg-cold/lvl	12				0
Highlord's Wrath	276	100	1			1		73	65	amu	Amulet		5	5000	bwht	bwht						openwounds		50	50	mana		10	10	swing3		30	30	vit		5	10	nofreeze		1	1	res-all		50	50	att/lvl	20			enr		10	10	res-pois		16	30	light		1	1	mana/lvl	2			oskill	38	10	10		0
Saracen's Chance	277	100	1			1		55	47	amu	Amulet		5	5000	dpur	dpur						deadly		100	100	regen		5	5	ac		2	3	reduce-ac		50	50	swing2		15	15	extra-cold		10	15	oskill	71	8	8	ltng-min		1	1	ltng-max		6	8	skilltab	9	2	2	block2		30	30	mana		33	33		0
Class Specific																																																																							0
Arreat's Face	279	100	1			1		50	42	baa	Slayer Guard		5	5000								light		3	3	dex		10	10	ac%		140	200	reduce-ac		50	50	manasteal		10	15	indestruct		1	1	crush		10	10	hit-skill	Confuse	11	18	sor		3	3	res-cold		15	15	str		10	10	hp		41	45		0
Homunculus	280	100	1			1		50	42	nea	Heirophant Trophy		5	5000								pierce-immunity-poison		300	300	dmg%		30	30	dmg-max		11	14	res-pois-len		25	25	pois-min		128	128	pois-max		128	128	pois-len		75	75	cold-min		3	3	cold-max		6	8	cold-len		25	25	hp/lvl	8			regen-mana		15	15		0
Titan's Revenge	281	100	1			1		50	42	ama	Ceremonial Javelin		5	5000								dmg-pois	250	403	403	manasteal		10	10	nec		2	2	skilltab	18	3	3	dmg-undead		200	200	str		10	20	ltng-min		1	1	ltng-max		4	7	mag%		20	30	res-all		50	50	crush		20	20	ac%		20	30		0
Lycander's Aim	282	100	1			1		50	42	am7	Ceremonial Bow		5	5000								att		30	30	pal		2	2	ac%		150	180	mana-kill		5	5	dmg-fire		236	480	regen		16	16	att-demon		100	100	sor		1	1	allskills		1	1	stam		21	30	hit-skill	36	10	8	att-skill	49	5	3		0
Lycander's Flank	283	100	1			1		50	42	am9	Ceremonial Pike		5	5000								oskill	37	3	3	res-all-max		5	5	dmg-fire		3	6	gethit-skill	76	5	1	dmg-mag		50	120	dmg-pois	250	300	300	mana		20	20	hp		66	66	att		100	100	res-fire	0	21	30	res-ltng		31	40	dmg-min		1	1		0
The Oculus	284	100	1			1		50	42	oba	Swirling Crystal		5	5000								res-fire		40	40	swing2		20	20	ltng-min		1	1	ltng-max		6	11	ease		-25	-25	mana		30	34	nofreeze		1	1	att-undead		250	350	balance2		30	30	oskill	264	9	13	ac%		130	140	att%		150	180		0
Herald of Zakarum	285	100	1			1		50	42	pa9	Aerin Shield		5	5000								oskill	37	2	2	enr		15	15	att-und/lvl	10			att-demon		200	200	dex		8	15	dmg%		180	230	ac		50	50	mana		15	15	gethit-skill	55	10	3	skilltab	9	1	1	hp		5	10	lifesteal		10	10		0
Cutthroat1	286	100	1			1		50	42	9tw	Runic Talons		5	5000								res-fire		20	20	ac		30	30	cast1		10	10	att%		20	20	oskill	Enchant	20	23	res-all		30	50	allskills		1	1	ac-miss		250	300	regen		20	20	ignore-ac		1	1	dmg-max		1	1	gold%		11	22		0
Jalal's Mane	287	100	1			1		50	42	dra	Dream Spirit		5	5000								cast3		25	25	att		50	75	hit-skill	44	10	3	enr		40	50	mana		13	18	dmg%		70	90	skilltab	10	3	3	cold-min		8	10	cold-max		15	20	fireskill		3	3	swing2		25	25	ac%		160	220		0
The Scalper	288	100	1			1		65	57	9ta	Francisca		5	5000								dru		2	2	hit-skill	Frost Nova	25	22	dmg-demon		200	200	ac		125	125	ac%		100	100	cast3		30	30	skilltab	7	1	1	sor		2	2	dmg-min		6	9	oskill	55	6	6	red-mag	0	3	3	mana		50	50		0
Bloodmoon	289	100	1			1		69	61	7sb	elegant blade		5	5000	cred	cred		invsbru				red-dmg%		10	10	red-dmg		15	20	vit		20	20	reanimate	1	10	10	ac%		50	50	cast3		25	35	manasteal	0	3	3	gold%		50	50	regen-stam		50	50	res-ltng		16	20	oskill	39	10	10	crush	0	35	35		0
Djinnslayer	290	100	1			1		73	65	7sm	ataghan		5	5000	dpur	dpur		invscmu				mana-kill		5	5	dmg-undead		100	200	ac		3	5	res-all		30	40	att		21	40	dex		3	3	cheap		10	15	dmg%		150	200	move3		30	30	dmg-demon		300	300										0
Deathbit	291	100	1			1		52	44	9tk	battle dart		5	5000								ease		20	20	oskill	77	1	3	ac		35	35	enr		20	20	dmg-ltng		1	30	res-all		30	50	dmg%		180	200	light		1	1	ac%		30	30	stam		11	20	hp		21	30	res-pois-len		75	75		0
Warshrike	292	100	1			1		83	75	7bk	winged knife		5	5000	bwht	bwht		invtk3				dmg%		100	150	red-dmg		10	15	gethit-skill	38	2	0	manasteal		4	7	nofreeze		1	1	res-fire	0	22	22	stack		20	40	str		16	20	oskill	72	8	8	red-mag		15	15	res-all		50	50	thorns		5	5		0
Gutsiphon	293	100	1			1		79	71	6rx	demon crossbow		5	5000	lgrn	lgrn		invrxbu				enr		5	5	dmg%		160	190	hit-skill	234	5	7	block		20	20	indestruct		1	1	att-undead		150	250	hp		100	150	res-cold		20	20	res-ltng		30	30	dur		50	50	regen-mana	0	12	12	dmg-to-mana		7	12		0
Razoredge	294	100	1			1		75	67	7ha	tomahawk		5	5000	lblu			invhaxu				skilltab	13	3	3	dmg%		160	220	hit-skill	Twister	8	13	oskill	BloodGolem	15	22	res-all		15	15	pierce-fire		10	15	dmg-to-mana		12	12	res-cold		30	30	res-pois		35	50	ac		100	100	dmg-pois	75	18	18	str		3	5		0
Gore Ripper	295	100				1							5	5000	dred	dred																																																							0
Demonlimb	296	100	1			1		71	63	7sp	tyrant club		5	5000	dgrn	dgrn		invspcu				oskill	74	1	3	dmg-norm		20	45	ac/lvl	10			att%		20	20	cast2		20	20	res-cold		30	30	rip		1	1	enr		10	10	res-pois-len		75	75	light		4	4	dmg%		201	300	red-mag		1	1		0
Steelshade	297	100	1			1		70	62	ulm	armet		5	5000	blac	blac		invhlmu				manasteal		4	10	gethit-skill	88	10	2	dex		25	25	dmg%		150	200	balance2		30	30	att		200	250	pal		1	2	skilltab	20	1	3	cast3		20	20	oskill	101	8	8	res-fire	0	12	12	dmg-undead		200	200		0
Tomb Reaver	298	100	1			1		86	84	7pa	cryptic axe		5	5000	lyel	lyel						gethit-skill	59	4	6	dmg-norm		25	50	slow		20	20	regen		16	16	res-pois-len		50	50	cast3		25	25	allskills		1	1	dex		10	10	ac		15	15	mana		11	15	dmg-pois	80	25	25	manasteal		14	14		0
Deaths's Web	299	100	1			1		74	66	7gw	unearthed wand		5	5000	bwht	bwht						dmg-ltng		1	30	ac%		51	65	thorns		4	6	dmg%		190	240	gethit-skill	Terror	14	13	lifesteal		7	7	str		3	5	skilltab	13	2	2	cold-min		3	4	cold-max		5	8	oskill	64	3	3	res-all	0	8	8		0
Nature's Peace	300	100	1			1		77	69	rin	ring		5	5000	dgrn	dgrn						dmg%		190	240	res-pois		75	75	skilltab	9	2	2	heal-kill		7	13	swing2		25	25	cast2		40	40	death-skill	Blizzard	100	37	dmg-mag		160	250	light		1	1	dmg-fire		5	30	dex		3	4	str		5	5		0
